date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:44:17	18638/18638	---M-Z	200	added ('OK')	text/html	etag:%2248cd-57af297dbec00-gzip%22	https://www.konnectplugins.com/proclinic/Horizontal/index.html	C:/My%20Web%20Sites/hospitalmanagement/www.konnectplugins.com/proclinic/Horizontal/index.html	(from )
21:44:17	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Oct%202024%2016:14:15%20GMT	https://www.konnectplugins.com/robots.txt		(from )
21:44:18	4753/4753	---M--	200	added ('OK')	image/png	etag:%221291-57af29b41ac40%22	https://www.konnectplugins.com/proclinic/Horizontal/images/fav.png	C:/My%20Web%20Sites/hospitalmanagement/www.konnectplugins.com/proclinic/Horizontal/images/fav.png	(from https://www.konnectplugins.com/proclinic/Horizontal/index.html)
21:44:20	144901/144901	---M--	200	added ('OK')	text/css	etag:%2223605-57af298df5240%22	https://www.konnectplugins.com/proclinic/Horizontal/css/bootstrap.min.css	C:/My%20Web%20Sites/hospitalmanagement/www.konnectplugins.com/proclinic/Horizontal/css/bootstrap.min.css	(from https://www.konnectplugins.com/proclinic/Horizontal/index.html)
21:44:20	16450/16450	---M--	200	added ('OK')	text/css	etag:%224042-57af2990d1900%22	https://www.konnectplugins.com/proclinic/Horizontal/css/themify-icons.css	C:/My%20Web%20Sites/hospitalmanagement/www.konnectplugins.com/proclinic/Horizontal/css/themify-icons.css	(from https://www.konnectplugins.com/proclinic/Horizontal/index.html)
21:44:22	23848/23848	---M--	200	added ('OK')	text/css	etag:%225d28-57af298d01000%22	https://www.konnectplugins.com/proclinic/Horizontal/css/animate.css	C:/My%20Web%20Sites/hospitalmanagement/www.konnectplugins.com/proclinic/Horizontal/css/animate.css	(from https://www.konnectplugins.com/proclinic/Horizontal/index.html)
21:44:24	22508/22508	---M--	200	added ('OK')	text/css	etag:%2257ec-57af2990d1900%22	https://www.konnectplugins.com/proclinic/Horizontal/css/styles.css	C:/My%20Web%20Sites/hospitalmanagement/www.konnectplugins.com/proclinic/Horizontal/css/styles.css	(from https://www.konnectplugins.com/proclinic/Horizontal/index.html)
21:44:25	3107/3107	---M--	200	added ('OK')	text/css	etag:%22c23-57af298ee9480%22	https://www.konnectplugins.com/proclinic/Horizontal/css/green.css	C:/My%20Web%20Sites/hospitalmanagement/www.konnectplugins.com/proclinic/Horizontal/css/green.css	(from https://www.konnectplugins.com/proclinic/Horizontal/index.html)
21:44:25	8354/8354	---M--	200	added ('OK')	text/css	etag:%2220a2-57af298fdd6c0%22	https://www.konnectplugins.com/proclinic/Horizontal/css/responsive.css	C:/My%20Web%20Sites/hospitalmanagement/www.konnectplugins.com/proclinic/Horizontal/css/responsive.css	(from https://www.konnectplugins.com/proclinic/Horizontal/index.html)
21:44:27	433/433	---M--	200	added ('OK')	text/css	etag:%221b1-57af29ca0a000%22	https://www.konnectplugins.com/proclinic/Horizontal/charts/css/morris.css	C:/My%20Web%20Sites/hospitalmanagement/www.konnectplugins.com/proclinic/Horizontal/charts/css/morris.css	(from https://www.konnectplugins.com/proclinic/Horizontal/index.html)
21:44:28	6635/6635	---M--	200	added ('OK')	text/css	etag:%2219eb-57af298ee9480%22	https://www.konnectplugins.com/proclinic/Horizontal/css/jquery-jvectormap.css	C:/My%20Web%20Sites/hospitalmanagement/www.konnectplugins.com/proclinic/Horizontal/css/jquery-jvectormap.css	(from https://www.konnectplugins.com/proclinic/Horizontal/index.html)
21:44:28	11084/11084	---M--	200	added ('OK')	application/javascript	etag:%222b4c-57af29c451280%22	https://www.konnectplugins.com/proclinic/Horizontal/js/modernizr.min.js	C:/My%20Web%20Sites/hospitalmanagement/www.konnectplugins.com/proclinic/Horizontal/js/modernizr.min.js	(from https://www.konnectplugins.com/proclinic/Horizontal/index.html)
21:44:30	3996/3996	---M--	200	added ('OK')	image/png	etag:%22f9c-57af29b50ee80%22	https://www.konnectplugins.com/proclinic/Horizontal/images/logo-dark.png	C:/My%20Web%20Sites/hospitalmanagement/www.konnectplugins.com/proclinic/Horizontal/images/logo-dark.png	(from https://www.konnectplugins.com/proclinic/Horizontal/index.html)
21:44:31	16207/16207	---M-Z	200	added ('OK')	text/html	etag:%223f4e-57af296aabf00-gzip%22	https://www.konnectplugins.com/proclinic/Horizontal/add-patient.html	C:/My%20Web%20Sites/hospitalmanagement/www.konnectplugins.com/proclinic/Horizontal/add-patient.html	(from https://www.konnectplugins.com/proclinic/Horizontal/index.html)
21:44:31	21147/21147	---M-Z	200	added ('OK')	text/html	etag:%22529a-57af298377980-gzip%22	https://www.konnectplugins.com/proclinic/Horizontal/patients.html	C:/My%20Web%20Sites/hospitalmanagement/www.konnectplugins.com/proclinic/Horizontal/patients.html	(from https://www.konnectplugins.com/proclinic/Horizontal/index.html)
21:44:32	21845/21845	---M-Z	200	added ('OK')	text/html	etag:%225554-57af2966db600-gzip%22	https://www.konnectplugins.com/proclinic/Horizontal/about-patient.html	C:/My%20Web%20Sites/hospitalmanagement/www.konnectplugins.com/proclinic/Horizontal/about-patient.html	(from https://www.konnectplugins.com/proclinic/Horizontal/index.html)
21:44:32	16344/16344	---M-Z	200	added ('OK')	text/html	etag:%223fd7-57af2978fa0c0-gzip%22	https://www.konnectplugins.com/proclinic/Horizontal/edit-patient.html	C:/My%20Web%20Sites/hospitalmanagement/www.konnectplugins.com/proclinic/Horizontal/edit-patient.html	(from https://www.konnectplugins.com/proclinic/Horizontal/index.html)
21:44:33	16923/16923	---M-Z	200	added ('OK')	text/html	etag:%22421a-57af2969b7cc0-gzip%22	https://www.konnectplugins.com/proclinic/Horizontal/add-doctor.html	C:/My%20Web%20Sites/hospitalmanagement/www.konnectplugins.com/proclinic/Horizontal/add-doctor.html	(from https://www.konnectplugins.com/proclinic/Horizontal/index.html)
21:44:34	22325/22325	---M-Z	200	added ('OK')	text/html	etag:%225734-57af297711c40-gzip%22	https://www.konnectplugins.com/proclinic/Horizontal/doctors.html	C:/My%20Web%20Sites/hospitalmanagement/www.konnectplugins.com/proclinic/Horizontal/doctors.html	(from https://www.konnectplugins.com/proclinic/Horizontal/index.html)
21:44:34	23733/23733	---M-Z	200	added ('OK')	text/html	etag:%225cb4-57af2966db600-gzip%22	https://www.konnectplugins.com/proclinic/Horizontal/about-doctor.html	C:/My%20Web%20Sites/hospitalmanagement/www.konnectplugins.com/proclinic/Horizontal/about-doctor.html	(from https://www.konnectplugins.com/proclinic/Horizontal/index.html)
21:44:35	17366/17366	---M-Z	200	added ('OK')	text/html	etag:%2243d5-57af297805e80-gzip%22	https://www.konnectplugins.com/proclinic/Horizontal/edit-doctor.html	C:/My%20Web%20Sites/hospitalmanagement/www.konnectplugins.com/proclinic/Horizontal/edit-doctor.html	(from https://www.konnectplugins.com/proclinic/Horizontal/index.html)
21:44:36	16488/16488	---M-Z	200	added ('OK')	text/html	etag:%224067-57af2969b7cc0-gzip%22	https://www.konnectplugins.com/proclinic/Horizontal/add-appointment.html	C:/My%20Web%20Sites/hospitalmanagement/www.konnectplugins.com/proclinic/Horizontal/add-appointment.html	(from https://www.konnectplugins.com/proclinic/Horizontal/index.html)
21:44:37	21835/21835	---M-Z	200	added ('OK')	text/html	etag:%22554a-57af297158ec0-gzip%22	https://www.konnectplugins.com/proclinic/Horizontal/appointments.html	C:/My%20Web%20Sites/hospitalmanagement/www.konnectplugins.com/proclinic/Horizontal/appointments.html	(from https://www.konnectplugins.com/proclinic/Horizontal/index.html)
21:44:38	17190/17190	---M-Z	200	added ('OK')	text/html	etag:%224325-57af2965e73c0-gzip%22	https://www.konnectplugins.com/proclinic/Horizontal/about-appointment.html	C:/My%20Web%20Sites/hospitalmanagement/www.konnectplugins.com/proclinic/Horizontal/about-appointment.html	(from https://www.konnectplugins.com/proclinic/Horizontal/index.html)
21:44:39	16737/16737	---M-Z	200	added ('OK')	text/html	etag:%224160-57af297711c40-gzip%22	https://www.konnectplugins.com/proclinic/Horizontal/edit-appointment.html	C:/My%20Web%20Sites/hospitalmanagement/www.konnectplugins.com/proclinic/Horizontal/edit-appointment.html	(from https://www.konnectplugins.com/proclinic/Horizontal/index.html)
21:44:39	18281/18281	---M-Z	200	added ('OK')	text/html	etag:%224768-57af296aabf00-gzip%22	https://www.konnectplugins.com/proclinic/Horizontal/add-payment.html	C:/My%20Web%20Sites/hospitalmanagement/www.konnectplugins.com/proclinic/Horizontal/add-payment.html	(from https://www.konnectplugins.com/proclinic/Horizontal/index.html)
21:44:40	27759/27759	---M-Z	200	added ('OK')	text/html	etag:%226c6e-57af298377980-gzip%22	https://www.konnectplugins.com/proclinic/Horizontal/payments.html	C:/My%20Web%20Sites/hospitalmanagement/www.konnectplugins.com/proclinic/Horizontal/payments.html	(from https://www.konnectplugins.com/proclinic/Horizontal/index.html)
21:44:40	17488/17488	---M-Z	200	added ('OK')	text/html	etag:%22444f-57af2967cf840-gzip%22	https://www.konnectplugins.com/proclinic/Horizontal/about-payment.html	C:/My%20Web%20Sites/hospitalmanagement/www.konnectplugins.com/proclinic/Horizontal/about-payment.html	(from https://www.konnectplugins.com/proclinic/Horizontal/index.html)
21:44:41	15959/15959	---M-Z	200	added ('OK')	text/html	etag:%223e56-57af297064c80-gzip%22	https://www.konnectplugins.com/proclinic/Horizontal/add-room.html	C:/My%20Web%20Sites/hospitalmanagement/www.konnectplugins.com/proclinic/Horizontal/add-room.html	(from https://www.konnectplugins.com/proclinic/Horizontal/index.html)
21:44:41	28628/28628	---M-Z	200	added ('OK')	text/html	etag:%226fd3-57af29855fe00-gzip%22	https://www.konnectplugins.com/proclinic/Horizontal/rooms.html	C:/My%20Web%20Sites/hospitalmanagement/www.konnectplugins.com/proclinic/Horizontal/rooms.html	(from https://www.konnectplugins.com/proclinic/Horizontal/index.html)
21:44:42	15714/15714	---M-Z	200	added ('OK')	text/html	etag:%223d61-57af2978fa0c0-gzip%22	https://www.konnectplugins.com/proclinic/Horizontal/edit-room.html	C:/My%20Web%20Sites/hospitalmanagement/www.konnectplugins.com/proclinic/Horizontal/edit-room.html	(from https://www.konnectplugins.com/proclinic/Horizontal/index.html)
21:44:43	16941/16941	---M-Z	200	added ('OK')	text/html	etag:%22422c-57af298930700-gzip%22	https://www.konnectplugins.com/proclinic/Horizontal/typography.html	C:/My%20Web%20Sites/hospitalmanagement/www.konnectplugins.com/proclinic/Horizontal/typography.html	(from https://www.konnectplugins.com/proclinic/Horizontal/index.html)
21:44:43	16328/16328	---M-Z	200	added ('OK')	text/html	etag:%223fc7-57af297341340-gzip%22	https://www.konnectplugins.com/proclinic/Horizontal/buttons.html	C:/My%20Web%20Sites/hospitalmanagement/www.konnectplugins.com/proclinic/Horizontal/buttons.html	(from https://www.konnectplugins.com/proclinic/Horizontal/index.html)
21:44:45	16878/16878	---M-Z	200	added ('OK')	text/html	etag:%2241ed-57af297435580-gzip%22	https://www.konnectplugins.com/proclinic/Horizontal/cards.html	C:/My%20Web%20Sites/hospitalmanagement/www.konnectplugins.com/proclinic/Horizontal/cards.html	(from https://www.konnectplugins.com/proclinic/Horizontal/index.html)
